iter	Passed	Remaining
237	485	1554
238	486	1548
239	487	1544
240	489	1540
241	490	1535
242	491	1531
243	492	1526
244	493	1521
245	495	1517
246	496	1512
247	497	1508
248	498	1503
249	499	1498
250	500	1493
251	501	1487
252	502	1482
253	503	1477
254	504	1474
255	506	1471
256	507	1468
257	509	1465
258	512	1466
259	514	1463
260	516	1461
261	517	1457
262	518	1453
263	519	1448
264	520	1444
265	521	1439
266	522	1435
267	523	1430
268	524	1425
269	528	1428
270	529	1425
271	531	1421
272	532	1418
273	533	1414
274	534	1410
275	535	1405
276	537	1401
277	538	1397
278	539	1393
279	540	1388
280	541	1384
281	541	1379
282	542	1375
283	543	1371
284	544	1366
285	545	1362
286	546	1357
287	547	1353
288	548	1350
289	550	1347
290	551	1343
291	552	1339
292	553	1335
293	554	1331
294	555	1328
295	556	1324
296	557	1320
297	558	1315
298	559	1311
299	560	1307
300	561	1303
301	562	1299
302	563	1295
303	564	1291
304	565	1287
305	566	1283
306	566	1279
307	567	1275
308	568	1272
309	569	1268
310	571	1266
311	572	1262
312	573	1259
313	574	1255
314	575	1251
315	576	1247
316	577	1243
317	578	1240
318	579	1236
319	580	1232
320	581	1229
321	582	1225
322	583	1222
323	584	1219
324	585	1215
325	586	1212
326	587	1208
327	588	1205
328	589	1201
329	590	1197
330	591	1194
331	592	1191
332	593	1188
333	594	1185
334	595	1182
335	596	1178
336	597	1175
337	598	1173
338	599	1169
339	601	1166
340	602	1163
341	603	1160
342	604	1157
343	605	1154
344	606	1151
345	607	1147
346	608	1144
347	609	1141
348	610	1138
349	611	1134
350	611	1131
351	612	1128
352	613	1124
353	614	1122
354	616	1120
355	617	1117
356	618	1114
357	619	1110
358	620	1107
359	621	1104
360	622	1101
361	623	1098
362	624	1095
363	625	1092
364	626	1089
365	627	1086
366	628	1083
367	629	1080
368	630	1077
369	631	1074
370	632	1071
371	633	1068
372	634	1066
373	635	1063
374	636	1060
375	638	1059
376	639	1056
377	640	1053
378	641	1051
379	642	1048
380	643	1045
381	644	1042
382	645	1039
383	646	1037
384	647	1034
385	648	1031
386	649	1028
387	650	1025
388	651	1023
389	652	1020
390	653	1017
391	654	1015
392	655	1012
393	656	1010
394	657	1007
395	658	1004
396	660	1003
397	662	1001
398	663	999
399	664	996
400	665	994
401	666	991
402	667	989
403	668	986
404	670	984
405	671	981
406	672	979
407	673	976
408	674	973
409	675	971
410	676	969
411	677	966
412	678	964
413	679	961
414	680	959
415	681	956
416	683	955
417	684	952
418	685	950
419	686	947
420	687	945
421	688	942
422	689	940
423	690	937
424	691	935
425	692	933
426	693	930
427	694	928
428	695	925
429	696	923
430	697	920
431	698	917
432	699	915
433	700	912
434	701	910
435	702	908
436	703	905
437	705	905
438	706	903
439	707	900
440	708	898
441	710	896
442	711	894
443	712	891
444	712	889
445	713	886
446	714	884
447	715	881
448	716	879
449	717	876
450	718	874
451	719	872
452	720	870
453	721	867
454	722	865
455	723	863
456	724	860
457	725	858
458	727	857
459	729	856
460	730	854
461	731	852
462	732	850
463	734	848
464	735	845
465	739	846
466	740	845
467	742	843
468	744	842
469	746	841
470	747	839
471	749	838
472	751	837
473	752	834
474	754	833
475	755	832
476	758	831
477	759	829
478	760	827
479	761	825
480	763	823
481	764	821
482	765	819
483	766	817
484	769	817
485	774	818
486	775	817
487	776	814
488	777	812
489	779	810
490	780	808
491	781	806
492	782	804
493	783	802
494	784	800
495	785	798
496	786	796
497	788	794
498	790	793
499	791	791
500	792	788
501	792	786
502	796	786
503	797	784
504	798	782
505	799	780
506	800	778
507	801	776
508	802	774
509	803	772
510	804	769
511	805	767
512	806	765
513	807	763
514	808	761
515	809	759
516	810	757
517	811	755
518	812	753
519	813	751
520	814	749
521	815	747
522	817	745
523	818	743
524	819	741
525	820	739
526	821	737
527	822	735
528	823	733
529	824	731
530	825	729
531	826	727
532	827	725
533	828	723
534	829	721
535	831	719
536	831	717
537	832	715
538	833	713
539	834	711
540	835	709
541	838	708
542	839	706
543	840	704
544	841	702
545	842	700
546	843	698
547	844	696
548	845	694
549	846	692
550	847	690
551	848	688
552	849	686
553	850	684
554	851	682
555	852	680
556	853	678
557	854	676
558	855	674
559	856	672
560	857	670
561	858	668
562	860	667
563	861	666
564	862	664
565	863	662
566	864	660
567	865	658
568	866	656
569	867	654
570	868	652
571	869	650
572	870	648
573	871	646
574	872	644
575	873	642
576	874	640
577	875	639
578	876	637
579	877	635
580	878	633
581	879	631
582	880	629
583	882	628
584	883	626
585	884	624
586	885	622
587	886	620
588	887	618
589	887	617
590	888	615
591	889	613
592	890	611
593	892	609
594	893	607
595	893	605
596	894	604
597	895	602
598	897	600
599	897	598
600	899	596
601	899	595
602	900	593
603	901	591
604	902	589
605	904	588
606	905	586
607	906	584
608	908	582
609	908	581
610	909	579
611	910	577
612	911	575
613	912	573
614	913	572
615	914	570
616	915	568
617	916	566
618	917	564
619	918	563
620	920	561
621	921	559
622	922	557
623	922	556
624	923	554
625	924	552
626	926	551
627	927	549
628	928	547
629	929	546
630	930	544
631	932	542
632	933	541
633	934	539
634	935	537
635	936	536
636	937	534
637	938	532
638	939	530
639	940	528
640	941	527
641	942	525
642	943	523
643	944	521
644	945	520
645	946	518
646	947	516
647	949	515
648	950	513
649	951	512
650	952	510
651	953	508
652	954	506
653	954	505
654	955	503
655	956	501
656	957	500
657	958	498
658	959	496
659	960	494
660	961	493
661	962	491
662	963	489
663	964	488
664	965	486
665	966	484
666	967	483
667	968	481
668	969	479
669	971	478
670	972	476
671	973	475
672	974	473
673	975	471
674	976	470
675	977	468
676	978	466
677	979	464
678	979	463
679	980	461
680	981	459
681	982	458
682	983	456
683	984	454
684	985	453
685	986	451
686	987	449
687	988	448
688	989	446
689	990	444
690	991	443
691	993	441
692	994	440
693	995	438
694	996	437
695	997	435
696	998	433
697	998	432
698	999	430
699	1000	428
700	1002	427
701	1003	425
702	1004	424
703	1004	422
704	1005	420
705	1006	419
706	1007	417
707	1008	415
708	1009	414
709	1010	412
710	1011	411
711	1012	409
712	1013	407
713	1014	406
714	1016	405
715	1017	403
716	1018	402
717	1019	400
718	1020	398
719	1021	397
720	1022	395
721	1023	393
722	1023	392
723	1024	390
724	1025	389
725	1026	387
726	1027	385
727	1028	384
728	1029	382
729	1030	381
730	1031	379
731	1032	378
732	1033	376
733	1034	374
734	1035	373
735	1036	371
736	1038	370
737	1039	369
738	1040	367
739	1041	366
740	1042	364
741	1043	363
742	1045	361
743	1046	360
744	1047	358
745	1048	357
746	1050	355
747	1051	354
748	1052	352
749	1053	351
750	1054	349
751	1055	348
752	1056	346
753	1057	345
754	1058	343
755	1061	342
756	1062	341
757	1063	339
758	1064	338
759	1065	336
760	1066	335
761	1067	333
762	1068	331
763	1069	330
764	1070	328
765	1071	327
766	1072	325
767	1073	324
768	1074	322
769	1075	321
770	1076	319
771	1077	318
772	1078	316
773	1079	315
774	1080	313
775	1081	312
776	1083	310
777	1083	309
778	1084	307
779	1085	306
780	1086	304
781	1087	303
782	1088	301
783	1089	300
784	1090	298
785	1091	297
786	1092	295
787	1093	294
788	1094	292
789	1095	291
790	1096	289
791	1097	288
792	1098	286
793	1098	285
794	1100	283
795	1100	282
796	1101	280
797	1102	279
798	1104	277
799	1105	276
800	1106	274
801	1107	273
802	1108	271
803	1109	270
804	1110	268
805	1111	267
806	1112	266
807	1113	264
808	1114	263
809	1115	261
810	1116	260
811	1117	258
812	1118	257
813	1119	255
814	1120	254
815	1121	252
816	1121	251
817	1122	249
818	1123	248
819	1124	246
820	1126	245
821	1127	244
822	1129	242
823	1130	241
824	1131	239
825	1132	238
826	1133	237
827	1134	235
828	1135	234
829	1136	232
830	1137	231
831	1138	229
832	1139	228
833	1140	226
834	1141	225
835	1142	224
836	1143	222
837	1144	221
838	1145	219
839	1145	218
840	1147	216
841	1150	215
842	1151	214
843	1152	213
844	1153	211
845	1154	210
846	1156	208
847	1157	207
848	1158	205
849	1159	204
850	1159	203
851	1161	201
852	1162	200
853	1163	198
854	1164	197
855	1165	196
856	1166	194
857	1166	193
858	1167	191
859	1168	190
860	1169	188
861	1171	187
862	1172	186
863	1173	184
864	1174	183
865	1175	181
866	1176	180
867	1177	179
868	1178	177
869	1179	176
870	1180	174
871	1181	173
872	1182	172
873	1183	170
874	1184	169
875	1185	167
876	1186	166
877	1187	164
878	1188	163
879	1189	162
880	1190	160
881	1191	159
882	1192	157
883	1194	156
884	1195	155
885	1196	153
886	1197	152
887	1198	151
888	1199	149
889	1200	148
890	1201	147
891	1202	145
892	1203	144
893	1204	142
894	1205	141
895	1206	140
896	1207	138
897	1208	137
898	1209	135
899	1209	134
900	1210	133
901	1212	131
902	1213	130
903	1214	128
904	1215	127
905	1217	126
906	1218	124
907	1219	123
908	1220	122
909	1221	120
910	1222	119
911	1223	118
912	1224	116
913	1225	115
914	1226	113
915	1227	112
916	1228	111
917	1229	109
918	1230	108
919	1231	107
920	1231	105
921	1233	104
922	1233	102
923	1234	101
924	1235	100
925	1237	98
926	1239	97
927	1240	96
928	1241	94
929	1242	93
930	1243	92
931	1244	90
932	1246	89
933	1247	88
934	1248	86
935	1248	85
936	1249	84
937	1250	82
938	1251	81
939	1252	79
940	1253	78
941	1254	77
942	1255	75
943	1256	74
944	1257	73
945	1258	71
946	1259	70
947	1261	69
948	1262	67
949	1263	66
950	1264	65
951	1265	63
952	1266	62
953	1267	61
954	1268	59
955	1269	58
956	1270	57
957	1271	55
958	1272	54
959	1273	53
960	1274	51
961	1275	50
962	1276	49
963	1277	47
964	1278	46
965	1279	45
966	1280	43
967	1281	42
968	1282	41
969	1284	39
970	1285	38
971	1286	37
972	1287	35
973	1288	34
974	1289	33
975	1290	31
976	1291	30
977	1292	29
978	1293	27
979	1294	26
980	1295	25
981	1296	23
982	1297	22
983	1298	21
984	1299	19
985	1300	18
986	1301	17
987	1302	15
988	1303	14
989	1305	13
990	1306	11
991	1307	10
992	1308	9
993	1309	7
994	1311	6
995	1312	5
996	1313	3
997	1313	2
998	1314	1
999	1315	0
